	id	created_at	text	lang	hashtags	isRelevant	isRelevant_text
137	1460727025203777536	2021-11-16T21:50:36.000Z	"b""RT @MCU_Direct: Here's the latest #MCU timeline order for movies &amp; shows on Disney+, now including #ShangChi capping it off! More details:\\u2026"""	en	['MCU', 'ShangChi']	True	True
138	1460726807905247235	2021-11-16T21:49:44.000Z	b'NOW (re-watching) SHANG-CHI!! #shangchi #wenwu'	en	['shangchi', 'wenwu']	True	True
139	1460726395089440777	2021-11-16T21:48:06.000Z	b'The people who did the #shangchi movie should of been in charge of the #MortalKombat  movie . Mortal kombat movie was terrible .'	en	['shangchi', 'MortalKombat']	True	True
140	1460726214511919105	2021-11-16T21:47:23.000Z	b'This thread was an amazing read. #shangchi https://t.co/v50gBoj7hr'	en	['shangchi']	True	True
141	1460726151207219201	2021-11-16T21:47:08.000Z	b'\\U0001f923\\U0001f602\\U0001f923\\nTerrific, humorous fact-checking assessment of that now famous bus sequence from the #ShangChi film from an actual @sfmta_muni bus driver.  https://t.co/CPERCZMD31'	en	['ShangChi']	True	True
142	1460725988065787908	2021-11-16T21:46:29.000Z	b'RT @maxinepark: Still marveling at these incredible #posters for #ShangChi! Shoutout to these amazing #artists: @ryanjshu @AJFrena @CryssyC\\u2026'	en	['posters', 'ShangChi', 'artists']	True	True
143	1460725986278842370	2021-11-16T21:46:28.000Z	b'Just finished watching #ShangChi \\nInteresting.'	en	['ShangChi']	True	True
144	1460725943740375050	2021-11-16T21:46:18.000Z	b'RT @shangchi: It\\u2019s time to unlock a whole new Marvel world. \\U0001f5dd Check out the third poster in a series inspired by Marvel Studios\\u2019 #ShangChi\\u2026'	en	['ShangChi']	True	True
145	1460725858264662030	2021-11-16T21:45:58.000Z	b'Xu Xialing Vs Sprite\\n\\n#shangchi #Xialing #Eternals #TheEternals #Sprite #MCU #Marvel #duelmarvel'	en	['shangchi', 'Xialing', 'Eternals', 'TheEternals', 'Sprite', 'MCU', 'Marvel', 'duelmarvel']	True	True
146	1460725784348348436	2021-11-16T21:45:40.000Z	b'RT @adrianB_M_: The success of #ShangChi and #Eternals tells me 2 things \\n\\n1.) Diversity &amp; Representation not only matters but it sells!\\u2026'	en	['ShangChi', 'Eternals']	True	True
